"CUESTIONARIO","CCAA","TIPO","TIPOINT","DCP1","DCP2","DCP3","DCP4","CFZP05","CFZP06","CFZP07","CFZP08","CFZP09","CFZP10","CFZP11","CMPP12","CMPP13","CMPP14","CMPP15","CMPP16","BENCOP17","BENCOP18","BENCOP19","BENCOP20","BENCOP21","BENCOP22","BENSOP23","BENSOP24","BENSOP25","BENSOP26","BENSOP27","BENTEP28","BENTEP29","BENTEP30","BENTEP31","BENTEP32","SACRELP33","SACRELP34","SACRELP35","SACCOSP36","SACCOSP37","SACCOSP38","VALRELP39","VALRELP40","VALRELP41","VALRELP42","SATP43","SATP44","SATP45","SATP46","SATP47","SATP48","LOYP49","LOYP50","LOYP51","REQP52","REQP53","REQP54","REQP55","REQP56","REQP57","REAP58","REAP59","REAP60","REAP61","RSQP62","RSQP63","RSQP64","RSQP65","RLP66","RLP67","RLP68","RLP69","RLP70","RLP71","RLP72","RLP73","REGP74","REGP75","REGP76","REGP77","TICP78","TICP79","TICP80","TICP81","TICP82","TICP83","TICP84","TICP85","TICP86","ITTICP87","ITTICP88","ITTICP89","ITTICP90","ITTICP91","ITTICP92","ITTICP93","ITTICP94","ITTICP95","ITTICP96","ITTICP97","ITTICP98","ITTICP99","ITTICP100","ITTICP101","ITTICP102","ITTICP103","ITTICP104","ITTICP105","INRELP106","INRELP107","INRELP108","INRELP109","INRELP110","INRELP111","CAPRELP112","CAPRELP113","CAPRELP114","CAPRELP115","CAPRELP116","CAPRELP117","CAPRELP118","CAPRELP119","CAPRELP120","CAPRELP121","EMPRESA","DIRECCION","CP","TEL","MUNICIPIO","PROVINCIA","ENTREVISTADO","PROVEEDOR","VENTAS2013","INVERSTIC2013","lon","lat"
272,Madrid,Tienda independiente,Tienda independiente,Alimentación,50,Proveedor exclusivo,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,Neutral,7,7,7,6,6,1,1,3,7,1,1,1,1,1,5,5,1,1,7,7,1,1,1,1,5,5,5,6,6,6,7,7,7,7,7,7,6,6,7,6,"PESCADERIA MARTÍNEZ SÁNCHEZ, S. L.","ÁNCORA, 3",28045,"915 30 62 76","MADRID","MADRID","ANDREA - ENCARGADA","MARTÍNEZ SÁNCHEZ, S.L. - TOLEDO",NA,NA,-3.6930107,40.4032022
273,Madrid,Tienda independiente,Tienda independiente,Alimentación,22,25,15,5,Neutral,3,3,5,7,5,2,Neutral,5,5,2,5,5,5,Neutral,6,5,5,5,3,5,3,Neutral,Neutral,3,3,3,5,5,Neutral,5,3,5,3,3,3,3,Neutral,Neutral,1,6,6,5,5,5,5,3,3,5,3,3,3,3,3,2,2,3,3,3,5,5,Neutral,3,3,Neutral,Neutral,Neutral,3,3,3,3,3,1,1,3,2,2,2,3,3,Neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,7,2,1,1,1,1,2,2,2,3,3,3,Neutral,Neutral,5,7,6,2,Neutral,Neutral,6,Neutral,"PESCADOS Y MARISCOS GAUDÍ","CAMARENA, 235",28047,"917 18 33 68","MADRID","MADRID","EMILIO SIMÓN - PROPIETARIO","JOSÉ LUIS CADIERNO - NADRID",3e+05,NA,-3.7568365,40.3862367
274,Madrid,Tienda integrada en una cooperativa de detallistas,Tienda integrada,Alimentación,32,Proveedor exclusivo,0,6,5,5,5,6,6,6,6,6,6,6,6,7,6,6,3,6,6,5,5,5,5,5,5,5,5,5,5,6,6,6,5,5,6,7,7,7,7,6,6,5,7,6,6,6,6,6,5,5,6,5,5,5,5,5,5,5,Neutral,Neutral,Neutral,Neutral,5,5,5,5,5,5,5,Neutral,Neutral,Neutral,Neutral,Neutral,5,Neutral,Neutral,5,Neutral,2,2,5,Neutral,1,1,6,6,Neutral,Neutral,2,1,1,6,1,1,1,7,7,1,1,1,1,3,3,3,3,3,3,5,5,6,7,7,5,6,5,6,3,"SUPER PÉREZ FERRUELO - UNIDE","PL. SAN MIGUEL, 4",28005,"913 66 48 22","MADRID","MADRID","VANESSA PÉREZ - ENCARGADA","COOPERATIVA UNIDE - MADRID",NA,NA,-3.70861,40.41527
275,Madrid,Tienda sucursalista,Tienda integrada,Alimentación,10,20,9,6,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,7,7,7,7,6,6,6,6,7,7,1,5,1,1,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,Neutral,6,5,5,5,5,6,5,5,6,5,5,6,6,6,Neutral,1,1,5,1,5,Neutral,4.264,1,1,7,7,1,1,7,7,Neutral,2,2,2,Neutral,5,5,5,5,5,7,7,6,5,7,6,6,6,7,5,"SUPERSOL","BETANZOS, 87",28034,"917 38 57 54","MADRID","MADRID","ANA ABEJER - ENCARGADA","EUROMADRID - MADRID",NA,NA,-3.7142192,40.4818752
276,Madrid,Tienda franquiciada,Tienda integrada,Alimentación,5,10,45,Neutral,7,6,6,6,7,6,7,6,7,7,6,7,7,5,1,6,6,6,6,6,7,1,1,1,1,1,1,7,6,1,6,6,6,Neutral,Neutral,Neutral,Neutral,6,6,6,7,7,7,7,7,7,6,5,6,6,5,5,6,5,5,6,7,7,6,7,5,6,6,6,7,7,5,1,6,5,5,6,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,6,1,1,1,6,1,1,7,1,1,5,1,1,1,7,7,1,1,1,1,1,1,1,1,1,1,6,7,6,6,7,7,7,7,7,6,"TOLESE","PASEO CHOPERA, 325",28100,"916 62 10 42","ALCOBENDAS","MADRID","NIEVES - ENCARGADA","CONDIS - BARCELONA",NA,NA,-3.65978,40.5449399
277,Madrid,Tienda independiente,Tienda independiente,Alimentación,10,40,8,Neutral,Neutral,Neutral,Neutral,5,6,5,5,6,6,6,5,6,6,6,6,6,6,5,5,3,5,3,3,3,3,3,3,5,6,5,Neutral,3,5,Neutral,Neutral,Neutral,Neutral,5,5,Neutral,6,6,5,5,5,5,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Neutral,3,3,Neutral,Neutral,3,3,Neutral,Neutral,1,1,1,1,1,1,1,1,1,6,2,1,1,2,5,1,1,1,1,3,3,3,3,3,3,3,3,Neutral,6,6,2,Neutral,Neutral,6,3,"LA CASA DE LA CARNE","AV. JUAN CARLOS I, S/N",28905,"916 01 00 62","GETAFE","MADRID","DEMETRIO LÓPEZ - ENCARGADO","NO CONSTA",NA,NA,-3.7492663,40.288877
278,Madrid,Tienda franquiciada,Tienda integrada,Alimentación,40,80,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,Neutral,Neutral,3,Neutral,3,Neutral,3,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,6,6,6,6,6,6,6,6,5,6,6,6,5,5,5,5,Neutral,Neutral,6,6,6,6,6,6,6,6,7,5,5,6,6,5,7,6,7,1,1,1,1,7,1,1,1,1,1,1,Neutral,1,7,7,1,1,6,6,6,6,7,6,6,7,7,7,7,6,6,1,5.698,7,6,7,"SUPERMERCADO ECOZAR","MONEGROS, 10",28915,"918 60 99 00","LEGANÉS","MADRID","PABLO SÁNCHEZ - ENCARGADO","UNIDE - MARKET",NA,NA,-3.7549499,40.3361512
279,Madrid,Tienda independiente,Tienda independiente,Alimentación,33,20,10,7,7,7,7,7,7,7,7,7,6,6,7,6,7,7,7,7,7,7,7,7,7,7,7,3,Neutral,6,6,7,6,6,6,6,6,Neutral,5,5,5,5,5,Neutral,5,5,5,5,5,5,5,5,5,5,5,5,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Neutral,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,7,7,7,6,6,6,6,6,6,6,"AUTOSERVICIO HNOS. GONZÁLEZ","HUERTAS, 18",28160,"918 41 90 11","TALAMANCA JARAMA","MADRID","RAMÓN - ENCARGADO","IFAN - GUADALAJARA",NA,NA,-3.5095652,40.7448104
280,Madrid,Tienda independiente,Tienda independiente,Textil y Calzado,20,80,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,Neutral,Neutral,Neutral,Neutral,6,6,6,6,5,7,5,5,5,5,6,6,3,7,6,6,6,6,6,3,5,6,6,6,6,5,5,5,5,5,5,5,6,6,6,6,6,5,5,6,5,6,5,5,5,1,1,1,2,5,5,5,5,5,1,7,7,7,7,7,1,1,1,7,7,1,1,1,1,1,1,1,1,1,1,1,3,3,3,6,6,6,6,6,1,6,6,6,3,"ALFREDO VILLALBA","SERRANO, 68",28001,"914 31 09 65","MADRID","MADRID","ANA -ENCARGADA TIENDA","NO CONSTA",NA,NA,-3.6865905,40.4298059
281,Madrid,Tienda independiente,Tienda independiente,Textil y Calzado,3,25,15,5,5,Neutral,Neutral,6,7,6,3,5,5,5,2,5,6,6,Neutral,6,5,5,5,5,5,5,3,3,2,2,2,5,Neutral,5,3,Neutral,5,3,3,3,3,Neutral,5,2,6,6,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,5,Neutral,Neutral,5,5,1,1,1,1,1,1,1,1,1,7,6,1,1,1,6,1,1,1,1,2,2,2,5,5,5,5,5,5,7,Neutral,3,Neutral,Neutral,6,5,"ASHTON LABORES","CLAUDIO COELLO, 6",28001,"914 31 03 12","MADRID","MADRID","MARÍA - PROPIETARIA","NO CONSTA - CATALUNYA",NA,NA,-3.6870862,40.4209731
282,Madrid,Tienda independiente,Tienda independiente,Textil y Calzado,8,40,4,5,5,5,2,6,6,6,5,6,6,5,5,6,6,6,5,6,3,3,3,3,5,2,3,3,3,3,3,5,5,5,3,2,5,Neutral,Neutral,Neutral,Neutral,Neutral,6,5,6,6,6,6,6,6,3,3,6,3,3,3,3,3,3,3,Neutral,Neutral,3,6,3,3,3,3,3,3,3,2,3,3,3,3,1,1,1,1,1,1,1,1,Neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,6,6,6,6,1,"BERTH","DOÑA BERENGUELA, 15",28011,"914 63 56 06","MADRID","MADRID","BERTA - GERENTE","FONTECHA - MADRID",NA,NA,-3.7263162,40.4125591
283,Madrid,Tienda independiente,Tienda independiente,Textil y Calzado,20,20,20,6,6,6,5,6,6,Neutral,5,6,6,5,6,6,5,6,5,6,5,5,5,5,5,3,Neutral,Neutral,Neutral,Neutral,Neutral,5,5,6,5,Neutral,5,Neutral,Neutral,Neutral,Neutral,Neutral,6,6,6,6,6,6,6,6,5,5,6,5,5,5,Neutral,Neutral,Neutral,Neutral,5,5,5,6,Neutral,Neutral,Neutral,Neutral,5,5,5,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,2,3,5,Neutral,Neutral,Neutral,Neutral,1,1,1,1,7,7,1,1,1,7,7,1,1,7,7,1,1,1,1,3,3,3,Neutral,Neutral,Neutral,6,6,6,7,6,6,6,6,6,3,"DECORACIÓN LOYMA","IMAGEN, 24",28018,"917 85 13 08","MADRID","MADRID","JOSÉ LUIS - ADMINISTRADO9R","NO CONSTA",NA,NA,-3.6678299,40.3836572
284,Madrid,Tienda independiente,Tienda independiente,Textil y Calzado,40,20,8,6,6,6,6,6,7,6,2,5,5,5,2,6,6,6,5,6,Neutral,5,5,Neutral,5,3,6,Neutral,Neutral,3,3,5,5,5,Neutral,3,6,Neutral,Neutral,Neutral,5,5,6,5,6,6,6,6,6,6,Neutral,Neutral,6,Neutral,Neutral,3,3,3,3,3,Neutral,Neutral,Neutral,6,3,3,3,3,Neutral,Neutral,Neutral,3,Neutral,3,3,3,1,1,1,1,1,1,1,1,Neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,6,6,6,7,5,6,6,6,6,1,"EL CORTE ITALIANO, S. L.","MARCELO USERA, 49",28026,"914 76 33 15","MADRID","MADRID","JOAQUÍN - ENCARGADO","BISESA (WISA SAMPERE) - VALÈNCIA",NA,NA,-3.7035741,40.3859419
285,Madrid,Tienda independiente,Tienda independiente,Textil y Calzado,38,20,25,7,7,6,6,7,7,7,7,6,6,6,7,7,7,6,1,6,6,7,7,7,7,1,7,7,7,1,1,6,6,6,1,5,1,Neutral,Neutral,Neutral,Neutral,6,6,5,7,7,7,7,7,7,2,2,1,2,3,5,6,6,7,5,6,5,5,5,5,5,6,6,6,6,6,2,5,5,5,5,2,2,2,1,2,2,2,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,6,5,6,1,"EL GATO NEGRO - VILARROYA SÁNCHEZ","BRAVO MURILLO, 164",28020,"915 72 29 89","MADRID","MADRID","FÉLIX - GONZÁLEZ - ENCARGADO","JAF - MADRID",NA,NA,-3.7028509,40.4529964
286,Madrid,Tienda independiente,Tienda independiente,Textil y Calzado,50,5,99,7,7,6,5,5,7,7,7,7,5.968,5.776,7,7,7,7,6,6,6,6,6,6,6,6,1,4.234,5,6,6,6,6,6,6,6,Neutral,6,4.663,4.663,4.595,4.845,6,1,6,6,5.88,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,3,3,3,3,5,5,5,5,5,1,1,1,1,1,1,1,1,1,Neutral,1,1,1,5,5,1,Neutral,1,1,Neutral,Neutral,Neutral,5,5,5,6,6,6,7,7,7,1,1,5,5,"EL PEQUEÑO ALMACÉN","VALLEHERMOSO, 40",28015,"914 46 61 40","MADRID","MADRID","DAVID DOMÍNGUEZ - GERENTE","TROVADOR - VALÈNCIA",150000,3000,-3.7083579,40.4347567
287,Madrid,Tienda independiente,Tienda independiente,Textil y Calzado,15,35,20,6,6,6,6,6,7,6,7,6,6,6,6,6,7,7,5,6,6,Neutral,6,5,7,Neutral,Neutral,Neutral,Neutral,Neutral,5,6,6,6,6,6,6,Neutral,Neutral,Neutral,Neutral,Neutral,5,2,7,6,5,6,7,7,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,5,5,Neutral,3,Neutral,5,Neutral,1,5,1,1,Neutral,Neutral,1,1,1,1,1,Neutral,6,1,1,7,7,1,Neutral,1,3,3,3,3,3,3,3,7,7,6,6,7,Neutral,Neutral,Neutral,6,5,"HIPER TEXTIL CAVERO, S. L. N. E.","MARCELO USERA, 144",28026,"914 69 34 52","MADRID","MADRID","FERNANDO CAVERO - GERENTE","NO CONSTA - MADRID",NA,NA,-3.7115625,40.3853085
288,Madrid,Tienda independiente,Tienda independiente,Textil y Calzado,15,90,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,7,6,6,7,7,7,7,6,6,6,6,6,6,6,6,7,7,6,6,3,3,3,3,3,3,3,Neutral,Neutral,1,1,7,7,1,1,Neutral,1,7,7,7,1,1,1,1,1,1,1,1,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,2,"HUGO BOSS","JORGE JUAN, 7",28001,"914 31 24 08","MADRID","MADRID","SILVIA - RESPONSABLE CONTABILIDAD","GRUPO HUGO BOSS - ALEMANIA",5.6e+07,NA,-3.6869075,40.4241114
289,Madrid,Tienda independiente,Tienda independiente,Textil y Calzado,14,15,50,6,6,6,6,Neutral,6,6,6,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,5,5,5,5,5.371,7,6,7,6,Neutral,Neutral,Neutral,5,6,6,6,5,Neutral,2,6,1,1,1,1,1,Neutral,3,6,6,3,6,6.016,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,5,5,3,3,5,5,5,6,1,1,1,1,1,1,1,1,1,1,2,1,1,7,1,1,1,1,1,1,1,1,1,1,1,7,7,6,7,7,5,5,5,5,2,"LA CASA BONITA","VILLAAMIL, 9",28039,"914 50 89 77","MADRID","MADRID","JUSTO - GERENTE","INTERFABRICS - ALCOI",289000,1000,-3.7057346,40.4572118
290,Madrid,Tienda independiente,Tienda independiente,Textil y Calzado,17,70,7,7,7,7,7,7,7,7,Neutral,6,6,6,6,7,6,6,6,6,6,6,5,Neutral,7,5,1,1,1,1,1,5,5,5,5,5,6,5,Neutral,2,2,2,1,1,6,6.036,5,5,5,5,1,1,1,1,1,1,2,2,2,2,1,1,2,1,1,1,3,3,3,2,1,1,3,2,2,3,1,1,1,1,7,7,7,7,5,1,1,1,1,1,1,1,1,1,Neutral,1,1,1,7,7,1,3,1,1,Neutral,Neutral,Neutral,5,5,5,7,5.96,7,7,6,7,7,6,7,7,"LA LLAVE HUECA","ESPARTINAS, 1",28001,"914 35 01 71","MADRID","MADRID","BÁRBARA - PROPIETARIA","NO CONSTA",120000,NA,-3.6796956,40.4246189
291,Madrid,Tienda independiente,Tienda independiente,Textil y Calzado,16,10,15,7,7,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,5,6,6,5,3,Neutral,Neutral,Neutral,5,5,Neutral,6,5,5,5,6,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Neutral,Neutral,3,Neutral,Neutral,Neutral,Neutral,3,3,3,3,3,3,Neutral,5,6,1,1,1,1,3,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,7,6,5,7,5.96,7,6,5,5,5,5,5,5,"LA PERCHA","ROCAFORT, 77",28021,"917 95 53 04","MADRID","MADRID","JORGE JIMÉNEZ - GERENTE","CHAVISA - MADRID",NA,NA,-3.6850521,40.3437418
292,Madrid,Tienda sucursalista,Tienda integrada,Textil y Calzado,99,Proveedor exclusivo,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,1,1,1,1,6,7,7,7,7,1,6,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,"LOEWE","GOYA, 4",28001,"912 04 13 00","MADRID","MADRID","JOEL - ADJUNTO GERENCIA","LOEWE - MADRID, BARCELONA",NA,NA,-3.6874991,40.4252393
293,Madrid,Tienda independiente,Tienda independiente,Textil y Calzado,9,70,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,3,5,3,5,2,3,Neutral,2,6,6,7,Neutral,5,Neutral,Neutral,2,6,6,6,6,6,6,6,7,7,6,6,6,6,6,6,6,6,6,6,"LORENZO CAPRILE, S. L.","CLAUDIO COELLO, 20",28001,"914 35 05 00","MADRID","MADRID","ÁNGELES MORALES - SECRETARIA GERENCIA","JOSÉ RUIZ - MADRID",NA,NA,-3.6867688,40.4229033
294,Madrid,Tienda independiente,Tienda independiente,Textil y Calzado,10,Proveedor exclusivo,0,6,5,5,Neutral,6,7,6,3,Neutral,5,5,3,5,6,5,3,6,6,5,5,3,5,3,3,3,5,3,3,5,5,5,5,Neutral,5,7,7,7,7,3,Neutral,2,6,6,6,6,6,6,2,3,5,5,3,3,2,1,1,1,1,1,1,5,3,2,2,2,3,3,3,3,3,3,3,3,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,5,1,1,5,1,1,1,1,1,1,6,3,1,2,7,7,1,1,1,5,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,6,6,6,6,6,3,5,5,6,Neutral,"MATARRANZ Y COMPAÑÍA, S. L.","SERRANO, 30",28001,"915 76 15 67","MADRID","MADRID","MIGUEL MATARRANZ - DTOR. GENERAL","FORMESE - ALEMANIA",1500000,3000,-3.6875416,40.4246478
295,Madrid,Tienda independiente,Tienda independiente,Textil y Calzado,24,30,20,5,Neutral,3,3,5,6,5,3,5,5,5,3,5,5,5,Neutral,6,5,5,5,5,5,5,3,3,2,2,2,6,6,6,Neutral,5,6,3,3,3,3,Neutral,5,1,7,6,6,6,6,6,3,3,Neutral,3,3,3,Neutral,3,3,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,5,Neutral,Neutral,5,5,Neutral,Neutral,5,Neutral,5,2,5,2,1,1,1,1,1,Neutral,7,1,1,6,6,1,1,1,1,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,5,5,5,7,6,2,6,6,6,Neutral,"MOARÉ","MAQUEDA, 60",28024,"917 11 22 06","MADRID","MADRID","JESÚS - PROPIETARIO","RIDO - MADRID",1e+05,1000,-3.7638718,40.3922028
296,Madrid,Tienda independiente,Tienda independiente,Textil y Calzado,9,25,10,6,6,6,6,6,6,6,6,5,6,5,6,6,5,6,6,5,6,6,5,Neutral,6,Neutral,5,5,Neutral,Neutral,Neutral,5,6,5,6,3,6,Neutral,Neutral,Neutral,Neutral,3,Neutral,4.627,Neutral,5,6,6,6,6,5,6,5,Neutral,5,5,5,5,5,Neutral,6,7,7,5,Neutral,Neutral,5,5,5,5,Neutral,5,5,5,Neutral,5,1,1,1,1,Neutral,5,Neutral,2,Neutral,1,1,1,1,1,1,1,1,1,5,5,1,1,1,1,1,1,1,1,2.736,1,1,1,1,3,6,6,6,6,7,3,5,5,5,5,"MORANCHEL Y RUIZ, S. L.","P.I. PRADO REGORDOÑO, 33",28695,"916 47 64 43","MÓSTOLES","MADRID","VÍCTOR - ENCARGADO","NO CONSTA - ESPAÑA",NA,NA,-3.8450004,40.3195428
297,Madrid,Tienda franquiciada,Tienda integrada,Textil y Calzado,1,15,30,Neutral,Neutral,3,3,Neutral,6,Neutral,Neutral,5,5,5,3,5,Neutral,5,3,6,5,5.548,Neutral,3,5,3,3,3,3,3,3,Neutral,5,5,Neutral,3,Neutral,Neutral,Neutral,Neutral,Neutral,3,Neutral,2,5,5,5,3,5,3,2,2,3,2,3,2,3,2,1,1,2,2,2,3,3,2,2,2,2,3,2,2,2,2,2,2,3,Neutral,Neutral,Neutral,5,Neutral,Neutral,Neutral,5,6,2,2,2,1,1,1,1,1,7,6,1,1,7,6,1,1,1,1,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,6,6,6,Neutral,2,3,3,Neutral,Neutral,"ORELLANA UNO, S. L.  - TIENDAS BOBA","ORELLANA, 1",28004,"913 10 49 02","MADRID","MADRID","MARÍA - DEPARTAMENTO COMERCIAL","NO CONSTA",NA,NA,-3.6957256,40.4269909
298,Madrid,Tienda independiente,Tienda independiente,Textil y Calzado,30,30,9,6,6,6,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,5,6,6,7,6,6,6,6,6,6,6,6,6,3,6,3,5,5,5,5,5,6,6,6,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,3,Neutral,3,Neutral,3,1,1,1,5,6,6,2.325,6,1,7,7,1,1,1,1,1,1,1,1,Neutral,Neutral,Neutral,5,5,5,7,7,7,6,6,1,5,5,5,5,"ROSAN, MODA HOGAR","FUEGO, 38",28100,"916 63 91 72","ALCOBENDAS","MADRID","ROSA - ADMINISTRADORA","NO CONSTA - MADRID",NA,NA,-3.6351997,40.5441658
299,Madrid,Tienda independiente,Tienda independiente,Textil y Calzado,10,15,20,Neutral,Neutral,Neutral,Neutral,5,7,6,5,6,6,6,5,5,5,6,Neutral,6,6,Neutral,5,3,5,3,Neutral,Neutral,Neutral,Neutral,Neutral,5,5,5,Neutral,3,5,2,3,2,3,5,5,5,6,6,6,6,6,6,5,5,5,3,5,Neutral,5,3,3,2,3,3,3,5,5,5,Neutral,Neutral,5,5,5,3,3,3,3,3,5,Neutral,Neutral,Neutral,5,Neutral,Neutral,Neutral,5,6,1,6,1,1,1,1,1,5,7,1,1,1,7,5,1,1,1,1,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,5,6,6,5,6,2,5,5,6,Neutral,"SILK FABRICS, S. L.","MONTESA, 12",28006,"914 02 98 90","MADRID","MADRID","JOSÉ MANUEL - DTOR. COMERCIAL","NO CONSTA",2500000,NA,-3.6722549,40.427624
300,Madrid,Tienda independiente,Tienda independiente,Textil y Calzado,20,18,99,5,6,5,6,6,7,6,6,6,Neutral,6,6,6,5,6,6,6,6,6,6,6,7,6,6,6,5,Neutral,5,5,5,6,6,6,6,Neutral,Neutral,5,Neutral,Neutral,6,Neutral,5,6,6,5.98,6,5,5,Neutral,Neutral,5,6,5,5,Neutral,5,Neutral,5,6,6,6,6,6,6,6,5,6,6,5,6,6,6,6,Neutral,Neutral,Neutral,Neutral,5,5,5,2,5,1,1,Neutral,5,Neutral,Neutral,1,1,1,3,Neutral,1,1,7,5,1,3,1,1.852,Neutral,Neutral,3,5,5,5,6,6,6,6,6,5.072,5,5,6,6,"SPORIBODY, S. L.","AV. MEDITERRÁNEO, 28",28007,"915 52 91 61","MADRID","MADRID","VÍCTOR SÁNCHEZ - RESP. ADMÓN.","NO CONSTA - U.S.A.",2e+06,NA,-3.6734503,40.4068381
301,Madrid,Tienda independiente,Tienda independiente,Textil y Calzado,35,40,15,7,7,7,7,6,7,7,7,7,6,6,7,6,6,6,6,6,6,6,6,7,7,7,5,5,6,7,7,7,7,7,6,6,7,5,6,6,6,6,6,5,6,6,6,6,5,7,7,7,7,6,6,6,6,6,6,6,7,7,7,7,7,6,6,6,6,6,6,6,6,5,6,6,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,7,5,1,1,5,5,1.355,1,1,1,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,Neutral,"ALMACENES GRANADOS","MIGUEL DE MONCADA, 2",28804,"918 89 39 72","ALCALÁ HENARES","MADRID","ALBERTO - ENCARGADO","REIG MARTÍ - ALBAIDA",NA,NA,-3.35533,40.48603
302,Madrid,Tienda independiente,Tienda independiente,Textil y Calzado,20,30,30,Neutral,Neutral,3,3,5,6,5,3,Neutral,Neutral,Neutral,3,5,5,5,Neutral,6,6,5,5,Neutral,5,5,5,5,3,3,3,6,6,6,Neutral,5,6,2,3,2,3,3,5,3,7,6,5,Neutral,Neutral,Neutral,Neutral,Neutral,5,3,Neutral,5,Neutral,3,3,3,3,3,3,5,5,Neutral,3,3,3,5,5,3,3,3,3,3,2,2,2,2,Neutral,2,2,Neutral,5,2,1,1,1,6,6,1,1,1,5,1,1,1,5,5,1,1,1,1,2,2,2,3,3,3,6,6,6,7,6,5,5,5,6,3,"MODA HOGAR ROS MARTY","CORINTO, 16",28804,"918 83 65 11","ALCALÁ HENARES","MADRID","ROSA Mª GÓMEZ - PROPIETARIA","ATENAS - MADRID",NA,NA,-3.3556623,40.485155
